16,1,2010,0,1,1,0,1,0,8130,672,2,98,0
14,1,2004,0,3,1,0,1,1,8130,672,0,98,1
17,1,2004,0,3,1,0,1,1,8130,679,1,98,1
12,1,2004,0,3,1,0,1,0,8120,671,1,98,0
17,1,2004,0,3,1,0,1,1,8130,670,0,98,4
17,1,2004,0,4,1,0,1,1,8130,676,0,98,1
12,1,2004,0,4,1,0,1,1,8120,672,5,98,4
16,1,2004,0,4,1,0,1,1,8130,672,0,98,4
17,0,2004,0,1,1,0,1,1,8120,672,2,98,4
17,1,2004,0,4,1,0,1,1,8130,679,0,98,1
12,1,2004,0,2,16,0,1,0,8130,670,1,98,0
15,1,2004,0,4,1,0,1,1,8130,674,6,98,3
18,1,2004,0,1,1,0,2,1,8120,679,2,0,2
16,1,2004,0,2,1,0,1,1,8130,679,0,98,2
14,1,2004,1,2,1,0,1,1,8130,672,0,98,4
14,1,2004,0,4,1,0,3,1,8130,672,0,98,4
15,1,2004,0,3,1,0,2,1,8130,672,0,98,4
13,1,2004,0,3,1,0,1,0,8130,679,2,98,0
16,1,2004,0,3,1,999,2,1,8120,675,6,98,1
11,0,2004,1,2,1,0,1,1,8130,672,0,98,4
16,0,2004,0,2,1,0,1,1,8130,670,0,98,4
15,1,2004,0,1,1,0,1,1,8130,679,1,98,4
13,1,2004,0,2,1,0,1,1,8130,672,0,98,4
13,1,2004,0,1,1,0,1,1,8130,672,1,98,2
13,0,2004,0,1,1,0,1,0,8120,679,3,0,0
12,0,2004,0,2,1,0,2,1,8130,676,0,0,4
15,1,2004,0,4,1,0,1,1,8130,679,0,98,4
17,1,2004,0,3,1,0,1,1,8130,672,1,98,2
16,1,2004,0,3,1,0,1,1,8130,670,0,98,4
12,0,2004,0,3,1,0,2,1,8130,674,0,98,4
15,0,2004,1,3,1,0,1,1,8130,675,0,98,1
16,1,2004,0,1,1,0,1,1,8122,672,3,98,4
7,1,2004,0,2,1,0,1,1,8130,679,0,98,4
15,1,2004,0,1,1,0,1,0,8130,679,1,98,0
13,1,2004,1,1,14,100,1,0,8120,679,4,9,0
